summary_date,site,monitor,pm25_davg,name,obs_count 
2002-01-08,3254,A,31.5,Ontario-1408 Francis Street,24 
2002-01-08,2221,A,21.8,San Bernardino-4th Street,24 
2002-01-08,2965,A,15.9,Atascadero-Lewis Avenue,24 
2002-01-08,2709,A,7.7,San Luis Obispo-Marsh Street,24 
2002-01-08,3486,A,10.9,Santa Maria-906 S Broadway,24 
2002-01-08,2991,A,10.2,El Rio-Rio Mesa School #2,24 
2002-01-08,3505,A,14.1,Piru-3301 Pacific Avenue,24 
2002-01-08,2880,A,9.8,Simi Valley-Cochran Street,24 
2002-01-08,2984,B,11.3,Thousand Oaks-Moorpark Road,24 
2002-01-08,2984,A,8.6,Thousand Oaks-Moorpark Road,24 
2002-01-08,2589,A,15.5,Chula Vista,24 
2002-01-08,2327,A,20.4,El Cajon-Redwood Avenue,24 
2002-01-08,2263,A,19.8,Escondido-E Valley Parkway,24 
2002-01-08,2964,A,24.3,San Diego-12th Avenue,24 
2002-01-08,2040,A,14.3,San Diego-Overland Avenue,24 
2002-01-08,2293,A,15.9,Fremont-Chapel Way,24 
2002-01-08,3490,A,21.4,Livermore-793 Rincon Avenue,24 
2002-01-08,2831,A,25.3,Concord-2956-A Treat Blvd,24 
2002-01-08,2831,B,24.0,Concord-2956-A Treat Blvd,24 
2002-01-08,3506,A,11.0,Point Reyes,24 
2002-01-08,2125,A,30.5,Redwood City,24 
2002-01-08,2413,A,16.8,San Jose-4th Street,24 
2002-01-08,2413,E,15.4,San Jose-4th Street,24 
2002-01-08,2936,A,8.0,San Jose-Tully Road,24 
2002-01-08,2410,A,26.4,Vallejo-304 Tuolumne Street,24 
2002-01-08,2105,A,23.0,Santa Rosa-5th Street,24 
2002-01-08,3009,A,34.0,Fresno-1st Street,24 
2002-01-08,3009,B,35.0,Fresno-1st Street,24 
2002-01-08,3009,D,44.2,Fresno-1st Street,24 
2002-01-08,3485,A,34.3,Fresno-Hamilton and Winery,24 
2002-01-08,3496,A,35.7,Bakersfield-410 E Planz Road,24 
2002-01-08,3146,A,38.7,Bakersfield-5558 California Avenue,24 
2002-01-08,3146,H,45.3,Bakersfield-5558 California Avenue,24 
2002-01-08,3146,B,35.8,Bakersfield-5558 California Avenue,24 
2002-01-08,3146,G,44.0,Bakersfield-5558 California Avenue,24 
2002-01-08,3145,A,39.9,Bakersfield-Golden State Highway,24 
2002-01-08,3194,A,27.6,Corcoran-Patterson Avenue,24 
2002-01-08,3253,A,23.9,Merced-2334 M Street,24 
2002-01-08,2094,A,20.0,Stockton-Hazelton Street,24 
2002-01-08,2833,A,24.0,Modesto-14th Street,24 
2002-01-08,2833,E,27.5,Modesto-14th Street,24 
2002-01-08,2032,B,45.3,Visalia-N Church Street,24 
2002-01-08,2032,A,38.0,Visalia-N Church Street,24 
2002-01-08,3135,A,12.7,Calexico-Ethel Street,24 
2002-01-08,2878,A,13.1,Indio-Jackson Street,24 
2002-01-08,2199,A,4.2,Palm Springs-Fire Station,24 
2002-01-08,2115,C,35.4,Chico-Manzanita Avenue,23 
2002-01-08,2115,A,32.0,Chico-Manzanita Avenue,24 
2002-01-08,2630,A,28.3,Gridley-Cowee Avenue,24 
2002-01-08,2956,A,15.0,Roseville-N Sunrise Blvd,24 
2002-01-08,2731,D,27.9,Sacramento-Del Paso Manor,24 
2002-01-08,3011,A,17.0,Sacramento-T Street,24 
2002-01-08,3808,A,4.3,Shasta Lake-Shasta Dam Blvd             ,24 
2002-01-08,2958,B,22.0,Yuba City-Almond Street,24 
2002-01-08,3249,A,14.0,Woodland-Gibson Road,24 
2002-01-09,2484,A,24.9,Azusa,24 
2002-01-09,3508,A,35.0,Los Angeles-651 Mott Street,24 
2002-01-09,2899,A,23.6,Los Angeles-North Main Street,24 
2002-01-09,2429,A,19.1,North Long Beach,24 
2002-01-09,3509,A,26.4,Wilmington-1115 N.Mahar Avenue,24 
2002-01-09,3674,A,22.3,Anaheim-Pampas Lane,24 
2002-01-09,2596,A,41.5,Riverside-Rubidoux,24 
2002-01-09,2327,A,19.7,El Cajon-Redwood Avenue,24 
2002-01-09,2263,A,19.0,Escondido-E Valley Parkway,24 
2002-01-09,2964,A,22.7,San Diego-12th Avenue,24 
2002-01-09,2831,A,10.9,Concord-2956-A Treat Blvd,24 
2002-01-09,3506,A,8.8,Point Reyes,24 
2002-01-09,2373,A,11.2,San Francisco-Arkansas Street,24 
2002-01-09,2413,A,7.7,San Jose-4th Street,24 
2002-01-09,2413,E,7.7,San Jose-4th Street,24 
2002-01-09,2936,A,10.1,San Jose-Tully Road,24 
2002-01-09,3009,D,53.5,Fresno-1st Street,24 
2002-01-09,3009,A,44.0,Fresno-1st Street,24 
2002-01-09,3146,H,40.4,Bakersfield-5558 California Avenue,24 
2002-01-09,3146,F,32.8,Bakersfield-5558 California Avenue,24 
2002-01-09,3146,A,35.0,Bakersfield-5558 California Avenue,24 
2002-01-09,3146,G,39.1,Bakersfield-5558 California Avenue,24 
2002-01-09,3146,E,34.6,Bakersfield-5558 California Avenue,24 
2002-01-09,2833,E,21.8,Modesto-14th Street,24 
2002-01-09,2032,B,66.3,Visalia-N Church Street,24 
2002-01-09,2115,C,31.5,Chico-Manzanita Avenue,19 
2002-01-09,2630,A,12.9,Gridley-Cowee Avenue,24 
2002-01-09,2731,D,22.8,Sacramento-Del Paso Manor,24 
2002-01-09,3011,A,12.0,Sacramento-T Street,24 
2002-01-10,2484,A,21.7,Azusa,24 
2002-01-10,3508,A,42.1,Los Angeles-651 Mott Street,24 
2002-01-10,2899,A,33.3,Los Angeles-North Main Street,24 
2002-01-10,2429,A,26.6,North Long Beach,24 
2002-01-10,3509,A,33.4,Wilmington-1115 N.Mahar Avenue,24 
2002-01-10,3674,A,27.8,Anaheim-Pampas Lane,24 
2002-01-10,2596,A,5.7,Riverside-Rubidoux,24 
2002-01-10,2327,A,23.0,El Cajon-Redwood Avenue,24 
2002-01-10,2263,A,23.3,Escondido-E Valley Parkway,24 
2002-01-10,2964,A,30.8,San Diego-12th Avenue,24 
2002-01-10,2831,A,13.9,Concord-2956-A Treat Blvd,24 
2002-01-10,3506,A,6.5,Point Reyes,24 
2002-01-10,2373,A,14.2,San Francisco-Arkansas Street,24 
2002-01-10,2413,E,18.8,San Jose-4th Street,24 
2002-01-10,2413,A,18.8,San Jose-4th Street,24 
2002-01-10,2936,A,21.7,San Jose-Tully Road,24 
2002-01-10,3009,A,42.0,Fresno-1st Street,24 
2002-01-10,3009,D,50.2,Fresno-1st Street,24 
2002-01-10,3146,G,37.3,Bakersfield-5558 California Avenue,24 
2002-01-10,3146,H,41.3,Bakersfield-5558 California Avenue,24 
2002-01-10,3146,A,32.7,Bakersfield-5558 California Avenue,24 
2002-01-10,2833,E,29.8,Modesto-14th Street,24 
2002-01-10,2032,B,47.8,Visalia-N Church Street,24 
2002-01-10,2115,C,36.5,Chico-Manzanita Avenue,24 
2002-01-10,2630,A,19.6,Gridley-Cowee Avenue,22 
2002-01-10,2731,D,39.5,Sacramento-Del Paso Manor,24 
2002-01-10,3011,A,18.0,Sacramento-T Street,24 
2002-01-11,3154,A,2.0,Keeler-Cerro Gordo Road,24 
2002-01-11,2208,A,15.0,Truckee-Fire Station,24 
2002-01-11,3020,A,16.0,Quincy-N Church Street,24 
2002-01-11,3121,A,4.1,Mojave-923 Poole Street,24 
2002-01-11,3492,A,7.1,Ridgecrest-100 West California Avenue,24 
2002-01-11,3500,A,9.0,Victorville-14306 Park Avenue,24 
2002-01-11,3482,A,6.0,Cave Rock State Park,24 
2002-01-11,3481,A,7.0,Incline Village-846 Tahoe Blvd,24 
2002-01-11,2484,A,4.9,Azusa,24 
2002-01-11,2492,A,21.8,Burbank-W Palm Avenue,24 
2002-01-11,3508,A,15.3,Los Angeles-651 Mott Street,24 
2002-01-11,2899,A,14.9,Los Angeles-North Main Street,24 
2002-01-11,2583,A,21.3,Lynwood,24 
2002-01-11,2429,A,21.3,North Long Beach,24 
2002-01-11,2160,A,11.8,Pasadena-S Wilson Avenue,24 
2002-01-11,2166,A,19.0,Pico Rivera,24 
2002-01-11,3509,A,28.2,Wilmington-1115 N.Mahar Avenue,24 
