summary_date,site,no_davg,name,obs_count,units 
2001-12-23,2991,0.002,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2001-12-23,3172,0.003,Ojai-Ojai Avenue,22,Parts Per Million ( ppm ) 
2001-12-23,2880,0.005,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2001-12-23,2984,0.001,Thousand Oaks-Moorpark Road,22,Parts Per Million ( ppm ) 
2001-12-23,2756,0.000,Ventura County-W Casitas Pass Road,22,Parts Per Million ( ppm ) 
2001-12-23,2088,0.005,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2001-12-23,2460,0.003,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2001-12-23,3198,0.009,Camp Pendleton,24,Parts Per Million ( ppm ) 
2001-12-23,2589,0.016,Chula Vista,23,Parts Per Million ( ppm ) 
2001-12-23,2327,0.032,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2001-12-23,2263,0.049,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2001-12-23,2897,0.018,Oceanside-Mission Avenue,24,Parts Per Million ( ppm ) 
2001-12-23,2933,0.015,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2001-12-23,2964,0.031,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2001-12-23,2040,0.012,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2001-12-23,2293,0.012,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2001-12-23,3490,0.008,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2001-12-23,3659,0.047,Oakland-6701 International Blvd,24,Parts Per Million ( ppm ) 
2001-12-23,2804,0.002,Bethel Island Road,23,Parts Per Million ( ppm ) 
2001-12-23,2831,0.028,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2001-12-23,3660,0.002,Crockett-1098 Pomona Street,21,Parts Per Million ( ppm ) 
2001-12-23,2102,0.011,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2001-12-23,3207,0.010,San Pablo-El Portal,23,Parts Per Million ( ppm ) 
2001-12-23,2622,0.021,San Rafael,23,Parts Per Million ( ppm ) 
2001-12-23,2655,0.007,Napa-Jefferson Avenue,22,Parts Per Million ( ppm ) 
2001-12-23,2373,0.016,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2001-12-23,2125,0.018,Redwood City,23,Parts Per Million ( ppm ) 
2001-12-23,2413,0.036,San Jose-4th Street,23,Parts Per Million ( ppm ) 
2001-12-23,2410,0.038,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2001-12-23,2105,0.014,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2001-12-23,3026,0.008,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2001-12-23,3009,0.011,Fresno-1st Street,22,Parts Per Million ( ppm ) 
2001-12-23,2013,0.009,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
2001-12-23,2844,0.002,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2001-12-23,2114,0.001,Parlier,23,Parts Per Million ( ppm ) 
2001-12-23,2941,0.001,Arvin-Bear Mountain Blvd,23,Parts Per Million ( ppm ) 
2001-12-23,3146,0.015,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2001-12-23,3145,0.018,Bakersfield-Golden State Highway,23,Parts Per Million ( ppm ) 
2001-12-23,2312,0.003,Edison,23,Parts Per Million ( ppm ) 
2001-12-23,2772,0.005,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2001-12-23,2981,0.008,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2001-12-23,3129,0.003,Hanford-S Irwin Street,23,Parts Per Million ( ppm ) 
2001-12-23,3211,0.000,Madera-Pump Yard,23,Parts Per Million ( ppm ) 
2001-12-23,3022,0.004,Merced-S Coffee Avenue,23,Parts Per Million ( ppm ) 
2001-12-23,2094,0.017,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2001-12-23,3159,0.003,Tracy-24371 Patterson Pass Road,23,Parts Per Million ( ppm ) 
2001-12-23,2833,0.010,Modesto-14th Street,23,Parts Per Million ( ppm ) 
