summary_date,site,no2_davg,name,obs_count,units 
2004-01-16,2032,0.015,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2004-01-16,3173,0.027,Calexico-East,23,Parts Per Million ( ppm ) 
2004-01-16,3135,0.028,Calexico-Ethel Street,21,Parts Per Million ( ppm ) 
2004-01-16,2551,0.025,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2004-01-16,2199,0.031,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2004-01-16,2115,0.013,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2004-01-16,2956,0.017,Roseville-N Sunrise Blvd,22,Parts Per Million ( ppm ) 
2004-01-16,2977,0.013,Elk Grove-Bruceville Road,23,Parts Per Million ( ppm ) 
2004-01-16,3187,0.014,Folsom-Natoma Street,23,Parts Per Million ( ppm ) 
2004-01-16,2123,0.019,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2004-01-16,3223,0.019,Sacramento-3801 Airport Road,23,Parts Per Million ( ppm ) 
2004-01-16,3011,0.017,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2004-01-16,2958,0.016,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2004-01-16,2143,0.015,Davis-UCD Campus,22,Parts Per Million ( ppm ) 
2004-01-17,2948,0.026,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2004-01-17,3487,0.003,Echo Summit,23,Parts Per Million ( ppm ) 
2004-01-17,3121,0.015,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2004-01-17,3658,0.020,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2004-01-17,2923,0.031,Barstow,22,Parts Per Million ( ppm ) 
2004-01-17,3215,0.007,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2004-01-17,3500,0.021,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2004-01-17,3185,0.032,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2004-01-17,3201,0.030,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2004-01-17,3183,0.020,Rosarito,23,Parts Per Million ( ppm ) 
2004-01-17,3138,0.031,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2004-01-17,3141,0.034,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2004-01-17,3178,0.015,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2004-01-17,3010,0.008,Ukiah-E Gobbi Street,22,Parts Per Million ( ppm ) 
2004-01-17,3116,0.005,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2004-01-17,3489,0.011,Salinas-High School,23,Parts Per Million ( ppm ) 
2004-01-17,2484,0.033,Azusa,23,Parts Per Million ( ppm ) 
2004-01-17,2492,0.042,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2849,0.042,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2004-01-17,2045,0.026,Hawthorne,23,Parts Per Million ( ppm ) 
2004-01-17,2899,0.041,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2004-01-17,2583,0.028,Lynwood,23,Parts Per Million ( ppm ) 
2004-01-17,2429,0.028,North Long Beach,23,Parts Per Million ( ppm ) 
2004-01-17,2160,0.042,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2166,0.039,Pico Rivera,23,Parts Per Million ( ppm ) 
2004-01-17,2898,0.041,Pomona,23,Parts Per Million ( ppm ) 
2004-01-17,2420,0.039,Reseda,23,Parts Per Million ( ppm ) 
2004-01-17,3502,0.015,Santa Clarita,23,Parts Per Million ( ppm ) 
2004-01-17,2494,0.029,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2004-01-17,3674,0.031,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2004-01-17,2937,0.024,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2004-01-17,2249,0.032,La Habra,23,Parts Per Million ( ppm ) 
2004-01-17,3168,0.026,Banning Airport,23,Parts Per Million ( ppm ) 
2004-01-17,2943,0.029,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2004-01-17,2596,0.025,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2004-01-17,2266,0.037,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2004-01-17,2221,0.028,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2004-01-17,2485,0.041,Upland,23,Parts Per Million ( ppm ) 
2004-01-17,2965,0.007,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2671,0.011,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2004-01-17,2321,0.009,Morro Bay,23,Parts Per Million ( ppm ) 
2004-01-17,3251,0.010,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2004-01-17,2709,0.008,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2004-01-17,3003,0.001,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2004-01-17,2008,0.006,El Capitan Beach,21,Parts Per Million ( ppm ) 
2004-01-17,2954,0.006,Gaviota-GTC Site B,21,Parts Per Million ( ppm ) 
2004-01-17,3153,0.011,Goleta-Fairview,21,Parts Per Million ( ppm ) 
2004-01-17,3101,0.004,Las Flores Canyon #1,21,Parts Per Million ( ppm ) 
2004-01-17,2992,0.003,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2004-01-17,2360,0.008,Lompoc-S H Street,21,Parts Per Million ( ppm ) 
2004-01-17,2957,0.003,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2004-01-17,3665,0.015,Santa Barbara-700 East Canon Perdido,22,Parts Per Million ( ppm ) 
2004-01-17,3023,0.002,Vandenberg Air Force Base-STS Power,21,Parts Per Million ( ppm ) 
2004-01-17,2991,0.013,El Rio-Rio Mesa School #2,22,Parts Per Million ( ppm ) 
2004-01-17,3172,0.008,Ojai-Ojai Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2880,0.017,Simi Valley-Cochran Street,22,Parts Per Million ( ppm ) 
2004-01-17,2984,0.019,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2004-01-17,2088,0.009,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2004-01-17,2460,0.021,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2004-01-17,3198,0.018,Camp Pendleton,24,Parts Per Million ( ppm ) 
2004-01-17,2589,0.023,Chula Vista,23,Parts Per Million ( ppm ) 
2004-01-17,2327,0.024,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2263,0.023,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2004-01-17,2933,0.025,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2004-01-17,2964,0.026,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2040,0.023,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2293,0.013,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2004-01-17,3490,0.013,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2804,0.009,Bethel Island Road,23,Parts Per Million ( ppm ) 
2004-01-17,2831,0.013,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2004-01-17,2102,0.012,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2004-01-17,3668,0.015,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2004-01-17,2622,0.015,San Rafael,23,Parts Per Million ( ppm ) 
2004-01-17,2655,0.013,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2004-01-17,2373,0.017,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2004-01-17,2125,0.015,Redwood City,23,Parts Per Million ( ppm ) 
