basin,cnty_abbr,name,prelim_yn,county_name,site,state,latitude,longitude,aqs_id,qa_id,district,met_id,elevation,address,city,zip_code,co2002obs 
SC ,LA,Azusa,N,Los Angeles,2484,CA,34.136479999999999,-117.92392,060370002,70060,SC,AZU01,189,803 North Loren Avenue,Azusa,91702,8354 
SC ,LA,Burbank-W Palm Avenue,N,Los Angeles,2492,CA,34.175799999999995,-118.31689999999999,060371002,70069,SC,BUR03,168,228 W. Palm Ave.; Burbank,Burbank                         ,91502,8356 
SC ,LA,Hawthorne,N,Los Angeles,2045,CA,33.9208,-118.3703,060375001,,SC,HAW01,6,5234 West 120th Street,Hawthorne                       ,90250,8239 
SC ,LA,Los Angeles-651 Mott Street,N,Los Angeles,3508,CA,34.03528,-118.2167,060370030,,SC,LMT01,20,651 S Mott Street (SB25 Trailer),Los Angeles                     ,90023,3422 
SC ,LA,Los Angeles-North Main Street,N,Los Angeles,2899,CA,34.06653,-118.22676,060371103,70087,SC,LAX06,92,1630 North Main Street,Los Angeles                     ,90012,8231 
SC ,LA,Lynwood,N,Los Angeles,2583,CA,33.928991000000003,-118.21068,060371301,70084,SC,LYN01,8,11220 Long Beach Boulevard,Lynwood                         ,90262,8306 
SC ,LA,North Long Beach,N,Los Angeles,2429,CA,33.82376,-118.18916,060374002,70072,SC,NLB01,29,3648 North Long Beach Boulevard,Long Beach,90807,8260 
SC ,LA,Pasadena-S Wilson Avenue,N,Los Angeles,2160,CA,34.132649999999998,-118.12714,060372005,70088,SC,PAS04,227,752 South Wilson Avenue,Pasadena                        ,91702,8335 
SC ,LA,Pico Rivera,N,Los Angeles,2166,CA,34.014073000000003,-118.06050399999999,060371601,,SC,PIC01,21,3713 San Gabriel River Parkkway,Pico Rivera                     ,90660,8349 
SC ,LA,Pomona,N,Los Angeles,2898,CA,34.066980000000001,-117.75138,060371701,70075,SC,POM01,273,924 North Garey Avenue,Pomona                          ,91767,8324 
SC ,LA,Reseda,N,Los Angeles,2420,CA,34.199199999999998,-118.53274999999999,060371201,70074,SC,RES01,225,18330 Gault Street,Los Angeles,91335,8358 
SC ,LA,Santa Clarita,N,Los Angeles,3502,CA,34.383369999999999,-118.52839,060376012,70090,SC,SLI01,388,22224 Placerita Canyon Road,Santa Clarita                   ,91321,8361 
SC ,LA,West Los Angeles-VA Hospital,N,Los Angeles,2494,CA,34.051090000000002,-118.4564,060370113,70091,SC,WSL03,92,VA Hospital,Los Angeles,90025,8329 
SC ,LA,Wilmington-1115 N.Mahar Avenue,N,Los Angeles,3509,CA,33.786110000000001,-118.24639999999999,060370031,,SC,WMN01,,1115 N Mahar Avenue,West Los Angeles                ,90744,4742 
SC ,ORA,Anaheim-Pampas Lane,N,Orange,3674,CA,33.83061,-117.9385,060590007,30178,SC,,40,1630 W Pampas Lane,Anaheim,92802,8732 
SC ,ORA,Costa Mesa-Mesa Verde Drive,N,Orange,2937,CA,33.674579999999999,-117.9256,060591003,30195,SC,COS03,18,2850 Mesa Verde Dr East; Costa Mesa,Costa Mesa                      ,92626,8139 
SC ,ORA,La Habra,N,Orange,2249,CA,33.925049999999999,-117.95259,060595001,30177,SC,LAH01,83,621 West Lambert,La Habra                        ,90631,8359 
SC ,ORA,Mission Viejo-26081 Via Pera,N,Orange,3265,CA,33.630049999999997,-117.67588000000001,060592022,30002,SC,MVJ01,169,26081 Via Pera,Mission Viejo                   ,92691,8383 
SC ,RIV,Lake Elsinore-W Flint Street,N,Riverside,2943,CA,33.67653,-117.33104,060659001,33158,SC,LEL01,410,506 West Flint Street,Lake Elsinore                   ,92530,8326 
SC ,RIV,Riverside-Magnolia,N,Riverside,2333,CA,33.946387999999999,-117.40110799999999,060651003,33146,SC,RIV04,249,7002 Magnolia Ave.; Riverside,Riverside                       ,92506,8709 
SC ,RIV,Riverside-Rubidoux,N,Riverside,2596,CA,33.999519999999997,-117.41595,060658001,33144,SC,RIV08,248,5888 Mission Boulevard,Rubidoux                        ,92509,7973 
SC ,SBD,San Bernardino-4th Street,N,San Bernardino,2221,CA,34.106678000000002,-117.274063,060719004,36203,SC,SNB02,318,24302 4th Street,San Bernardino                  ,92410,7989 
SC ,SBD,Upland,N,San Bernardino,2485,CA,34.103670000000001,-117.62906,060711004,36175,SC,UPL01,386,1350 San Bernardino Road,Upland,91786,8349 
SCC,SLO,Atascadero-Lewis Avenue,N,San Luis Obispo,2965,CA,35.491667,-120.66805600000001,060798001,40847,SLO,ATA01,45,6005 Lewis Avenue,Atascadero,93422,7782 
SCC,SLO,San Luis Obispo-Marsh Street,N,San Luis Obispo,2709,CA,35.282200000000003,-120.65779999999999,060792002,,SLO,SLO04,20,1160 Marsh Street,San Luis Obispo                 ,93401,8277 
SCC,SBA,Goleta-Fairview,N,Santa Barbara,3153,CA,34.445504999999997,-119.828452,060832011,42404,SB,GOL04,16,380 North Fairview Avenue,Goleta                          ,93117,8108 
SCC,SBA,Las Flores Canyon #1,N,Santa Barbara,3101,CA,34.489759999999997,-120.04689999999999,060831025,42101,SB,CLF01,190,LFC #1-Las Flores Canyon; Capitan,Capitan                         ,93117,8093 
SCC,SBA,Lompoc-S H Street,N,Santa Barbara,2360,CA,34.637819999999998,-120.4575,060832004,42381,SB,LOM06,32,128 S H Street,Lompoc,93436,8258 
SCC,SBA,Santa Maria-906 S Broadway,N,Santa Barbara,3486,CA,34.942872000000001,-120.43561099999999,060831008,42408,SB,SMX04,72,906 S Broadway,Santa Maria                     ,93454,8360 
SCC,SBA,Vandenberg Air Force Base-STS Power,N,Santa Barbara,3023,CA,34.595930000000003,-120.63129000000001,060834003,42390,SB,VBG05,95,Sts Power Plant; Vandenberg AFB,Vandenberg Air Force Base       ,93437,8157 
SCC,VEN,El Rio-Rio Mesa School #2,N,Ventura,2991,CA,34.252389999999998,-119.143182,061113001,56436,VEN,ERI02,40,Rio Mesa School,Oxnard                          ,93030,8112 
SCC,VEN,Simi Valley-Cochran Street,N,Ventura,2880,CA,34.276316000000001,-118.683685,061112002,56434,VEN,SIM04,316,5400 Cochran Street,Simi Valley                     ,93063,7720 
SD ,SD,Chula Vista,N,San Diego,2589,CA,32.631230000000002,-117.05905,060730001,80114,SD,CHU01,55,80 East J Street,Chula Vista                     ,91910,8299 
SD ,SD,Escondido-E Valley Parkway,N,San Diego,2263,CA,33.127707999999998,-117.075327,060731002,80115,SD,ESC01,62,600 East Valley Parkway,Escondido                       ,92019,8649 
SD ,SD,Otay Mesa-Paseo International,N,San Diego,2933,CA,32.552216999999999,-116.93793100000001,060732007,80139,SD,OTY01,47,1100 Paseo International,Otay Mesa                       ,92154,8267 
SD ,SD,San Diego-12th Avenue,N,San Diego,2964,CA,32.709200000000003,-117.15389999999999,060731007,,SD,SAN01,2,330A 12th Avenue,San Diego                       ,92112,8164 
SD ,SD,San Diego-Union Street,N,San Diego,2921,CA,32.717269000000002,-117.16508899999999,060730007,80130,SD,SAN12,5,1133 Union Street,San Diego                       ,92101,8213 
SFB,ALA,Fremont-Chapel Way,N,Alameda,2293,CA,37.535832999999997,-121.961944,060011001,60336,BA,FRC01,7,40733 Chapel Way,Fremont                         ,94538,7906 
SFB,ALA,Livermore-793 Rincon Avenue,N,Alameda,3490,CA,37.6875,-121.7842,060010007,60344,BA,LVK01,138,793 Rincon Avenue,Livermore                       ,94550,8342 
SFB,ALA,Oakland-6701 International Blvd,N,Alameda,3659,CA,37.786944999999996,-122.27999899999999,060010010,,BA,,10,6701 International Blvd,Oakland                         ,94607,7844 
SFB,ALA,Oakland-Alice Street,N,Alameda,2225,CA,37.801389999999998,-122.2672,060010005,,BA,OAK03,2,822 Alice Street,Oakland                         ,94607,8472 
SFB,CC,Bethel Island Road,N,Contra Costa,2804,CA,38.006300000000003,-121.64191,060131002,07442,BA,BTH02,-1,5551 Bethel Island Road,Bethel Island,94561,8221 
SFB,CC,Concord-2956-A Treat Blvd,N,Contra Costa,2831,CA,37.936,-122.0262,060130002,07448,BA,CCR01,28,2956-A Treat Blvd,Concord                         ,94518,8288 
