summary_date,site,ozone_davg,name,obs_count,units 
2011-06-15,3146,0.043,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2011-06-15,2312,0.059,Edison,23,Parts Per Million ( ppm ) 
2011-06-15,2919,0.064,Maricopa-Stanislaus Street,23,Parts Per Million ( ppm ) 
2011-06-15,2772,0.055,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2011-06-15,2981,0.045,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2011-06-15,3129,0.053,Hanford-S Irwin Street,22,Parts Per Million ( ppm ) 
2011-06-15,3771,0.044,Madera-28261 Avenue 14,23,Parts Per Million ( ppm ) 
2011-06-15,3211,0.046,Madera-Pump Yard,22,Parts Per Million ( ppm ) 
2011-06-15,3022,0.049,Merced-S Coffee Avenue,21,Parts Per Million ( ppm ) 
2011-06-15,2094,0.032,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2011-06-15,3696,0.056,Tracy-Airport,22,Parts Per Million ( ppm ) 
2011-06-15,2833,0.037,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2011-06-15,3763,0.056,Porterville-1839 Newcomb Street,23,Parts Per Million ( ppm ) 
2011-06-15,3484,0.067,Sequoia and Kings Canyon Natl Park,24,Parts Per Million ( ppm ) 
2011-06-15,3036,0.061,Sequoia Natl Park-Lower Kaweah,24,Parts Per Million ( ppm ) 
2011-06-15,2032,0.047,Visalia-N Church Street,21,Parts Per Million ( ppm ) 
2011-06-15,3135,0.046,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2011-06-15,2551,0.063,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2011-06-15,3186,0.046,Niland-English Road,23,Parts Per Million ( ppm ) 
2011-06-15,3143,0.055,Westmorland-W 1st Street,23,Parts Per Million ( ppm ) 
2011-06-15,2878,0.077,Indio-Jackson Street,23,Parts Per Million ( ppm ) 
2011-06-15,2199,0.073,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2011-06-15,2115,0.038,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2011-06-15,3491,0.054,Paradise-4405 Airport Road,23,Parts Per Million ( ppm ) 
2011-06-15,2744,0.041,Colusa-Sunrise Blvd,23,Parts Per Million ( ppm ) 
2011-06-15,3714,0.046,Willows-720 N Colusa Street,23,Parts Per Million ( ppm ) 
2011-06-15,2891,0.047,Auburn-Dewitt-C Avenue,24,Parts Per Million ( ppm ) 
2011-06-15,2956,0.046,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2011-06-15,2977,0.037,Elk Grove-Bruceville Road,23,Parts Per Million ( ppm ) 
2011-06-15,3187,0.049,Folsom-Natoma Street,24,Parts Per Million ( ppm ) 
2011-06-15,2123,0.037,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2011-06-15,2731,0.033,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
2011-06-15,3738,0.029,Sacramento-Goldenland Court,18,Parts Per Million ( ppm ) 
2011-06-15,3011,0.035,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2011-06-15,3209,0.046,Sloughhouse,24,Parts Per Million ( ppm ) 
2011-06-15,3032,0.037,Anderson-North Street,24,Parts Per Million ( ppm ) 
2011-06-15,2972,0.050,Lassen Volcanic Natl Park-Manzanita Lake,24,Parts Per Million ( ppm ) 
2011-06-15,2829,0.041,Redding-Health Dept Roof,24,Parts Per Million ( ppm ) 
2011-06-15,3746,0.041,Shasta Lake-13791 Lake Blvd,23,Parts Per Million ( ppm ) 
2011-06-15,3678,0.032,Vacaville-Ulatis Drive,22,Parts Per Million ( ppm ) 
2011-06-15,3117,0.050,Sutter Buttes-S Butte,23,Parts Per Million ( ppm ) 
2011-06-15,2958,0.031,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2011-06-15,3197,0.047,Red Bluff-Oak Street,24,Parts Per Million ( ppm ) 
2011-06-15,3158,0.052,Tuscan Butte,23,Parts Per Million ( ppm ) 
2011-06-15,2143,0.039,Davis-UCD Campus,18,Parts Per Million ( ppm ) 
2011-06-15,3249,0.038,Woodland-Gibson Road,24,Parts Per Million ( ppm ) 
2011-06-16,2914,0.033,Lakeport-Lakeport Blvd,23,Parts Per Million ( ppm ) 
2011-06-16,2993,0.038,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2011-06-16,3144,0.043,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2011-06-16,3196,0.045,Cool-Highway 193,23,Parts Per Million ( ppm ) 
2011-06-16,3017,0.051,Placerville-Gold Nugget Way,23,Parts Per Million ( ppm ) 
2011-06-16,3161,0.055,Jerseydale - 6440 Jerseydale,23,Parts Per Million ( ppm ) 
2011-06-16,3018,0.061,Yosemite Natl Park-Turtleback Dome,24,Parts Per Million ( ppm ) 
2011-06-16,3126,0.046,Grass Valley-Litton Building,24,Parts Per Million ( ppm ) 
2011-06-16,3157,0.052,White Cloud Mountain,23,Parts Per Million ( ppm ) 
2011-06-16,3002,0.041,Colfax-City Hall,24,Parts Per Million ( ppm ) 
2011-06-16,2968,0.047,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2011-06-16,3121,0.069,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2011-06-16,3658,0.059,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2011-06-16,3673,0.052,Blythe-445 West Murphy Street,23,Parts Per Million ( ppm ) 
2011-06-16,2923,0.068,Barstow,23,Parts Per Million ( ppm ) 
2011-06-16,2650,0.065,Hesperia-Olive Street,24,Parts Per Million ( ppm ) 
2011-06-16,3152,0.073,Joshua Tree NP - Black Rock,24,Parts Per Million ( ppm ) 
2011-06-16,2830,0.062,Phelan-Beekley Road and Phelan Road,24,Parts Per Million ( ppm ) 
2011-06-16,3500,0.047,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2011-06-16,3716,0.022,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2011-06-16,3010,0.022,Ukiah-E Gobbi Street,24,Parts Per Million ( ppm ) 
2011-06-16,2016,0.028,Carmel Valley-Ford Road,24,Parts Per Million ( ppm ) 
2011-06-16,3726,0.028,King City-415 Pearl Street,24,Parts Per Million ( ppm ) 
2011-06-16,3489,0.033,Salinas-High School,24,Parts Per Million ( ppm ) 
2011-06-16,2628,0.028,Hollister-Fairview Road,24,Parts Per Million ( ppm ) 
2011-06-16,2983,0.032,Pinnacles National Monument,24,Parts Per Million ( ppm ) 
2011-06-16,2329,0.023,Davenport,24,Parts Per Million ( ppm ) 
2011-06-16,3200,0.028,Santa Cruz AMS,24,Parts Per Million ( ppm ) 
2011-06-16,2752,0.036,Yreka-Foothill Drive,23,Parts Per Million ( ppm ) 
2011-06-16,2484,0.024,Azusa,22,Parts Per Million ( ppm ) 
2011-06-16,2492,0.024,Burbank-W Palm Avenue,22,Parts Per Million ( ppm ) 
2011-06-16,3743,0.034,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2011-06-16,2849,0.031,Glendora-Laurel,19,Parts Per Million ( ppm ) 
2011-06-16,3774,0.032,Long Beach-2425 Webster Street          ,22,Parts Per Million ( ppm ) 
2011-06-16,2899,0.027,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
