summary_date,site,no_davg,name,obs_count,units 
2001-04-04,2948,0.003,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-04-04,3487,0.002,Echo Summit,23,Parts Per Million ( ppm ) 
2001-04-04,3121,0.001,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2001-04-04,2923,0.003,Barstow,23,Parts Per Million ( ppm ) 
2001-04-04,3215,0.001,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2001-04-04,3500,0.003,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2001-04-04,3202,0.002,Mexicali-CBTIS,23,Parts Per Million ( ppm ) 
2001-04-04,3203,0.001,Mexicali-Cobach,21,Parts Per Million ( ppm ) 
2001-04-04,3201,0.002,Mexicali-UABC,21,Parts Per Million ( ppm ) 
2001-04-04,3183,0.000,Rosarito,23,Parts Per Million ( ppm ) 
2001-04-04,3255,0.004,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2001-04-04,3138,0.000,Tijuana-ITT,19,Parts Per Million ( ppm ) 
2001-04-04,3141,0.005,Tijuana-La Mesa,21,Parts Per Million ( ppm ) 
2001-04-04,3178,0.004,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2001-04-04,3489,0.004,Salinas-High School,24,Parts Per Million ( ppm ) 
2001-04-04,2329,0.000,Davenport,24,Parts Per Million ( ppm ) 
2001-04-04,3481,0.000,Incline Village-846 Tahoe Blvd,23,Parts Per Million ( ppm ) 
2001-04-04,2484,0.002,Azusa,23,Parts Per Million ( ppm ) 
2001-04-04,2492,0.005,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2001-04-04,2849,0.001,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2001-04-04,2045,0.010,Hawthorne,23,Parts Per Million ( ppm ) 
2001-04-04,3508,0.010,Los Angeles-651 Mott Street,22,Parts Per Million ( ppm ) 
2001-04-04,2899,0.004,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2001-04-04,2583,0.013,Lynwood,23,Parts Per Million ( ppm ) 
2001-04-04,2429,0.008,North Long Beach,23,Parts Per Million ( ppm ) 
2001-04-04,2160,0.000,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2001-04-04,2166,0.006,Pico Rivera,23,Parts Per Million ( ppm ) 
2001-04-04,2898,0.009,Pomona,23,Parts Per Million ( ppm ) 
2001-04-04,2420,0.000,Reseda,23,Parts Per Million ( ppm ) 
2001-04-04,2855,0.015,Santa Clarita-County Fire Station,23,Parts Per Million ( ppm ) 
2001-04-04,2494,0.009,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2001-04-04,2623,0.002,Anaheim-Harbor Blvd,23,Parts Per Million ( ppm ) 
2001-04-04,2937,0.001,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
