summary_date,site,co_davg,name,obs_count,units 
2012-08-22,2125,0.272,Redwood City,18,Parts Per Million ( ppm ) 
2012-08-22,3770,0.328,Cupertino-22601 Voss Ave,23,Parts Per Million ( ppm ) 
2012-08-22,3661,0.275,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2012-08-22,2410,0.271,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2012-08-22,2105,0.380,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2012-08-22,3026,0.200,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2012-08-22,2013,0.264,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2012-08-22,3787,0.210,Bakersfield-Municipal Airport,21,Parts Per Million ( ppm ) 
2012-08-22,2094,0.161,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2012-08-22,2833,0.191,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2012-08-22,2996,0.305,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2012-08-22,3135,0.165,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2012-08-22,2551,0.013,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2012-08-22,2199,0.135,Palm Springs-Fire Station,22,Parts Per Million ( ppm ) 
2012-08-22,2123,0.200,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2012-08-22,2731,0.197,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
2012-08-22,2840,0.426,Sacramento-El Camino and Watt,23,Parts Per Million ( ppm ) 
2012-08-22,3738,0.221,Sacramento-Goldenland Court,24,Parts Per Million ( ppm ) 
2012-08-23,2923,0.113,Barstow,23,Parts Per Million ( ppm ) 
2012-08-23,3500,0.348,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2012-08-23,3138,0.402,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2012-08-23,3779,0.350,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2012-08-23,3716,0.070,Eureka-Jacobs,23,Parts Per Million ( ppm ) 
2012-08-23,3489,0.217,Salinas-High School,24,Parts Per Million ( ppm ) 
2012-08-23,2484,0.318,Azusa,22,Parts Per Million ( ppm ) 
2012-08-23,2492,0.161,Burbank-W Palm Avenue,22,Parts Per Million ( ppm ) 
2012-08-23,3743,0.364,Compton-700 North Bullis Road,21,Parts Per Million ( ppm ) 
2012-08-23,2849,0.327,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2012-08-23,2899,0.463,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2012-08-23,3683,0.266,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2012-08-23,2429,0.306,North Long Beach,23,Parts Per Million ( ppm ) 
2012-08-23,2160,0.344,Pasadena-S Wilson Avenue,22,Parts Per Million ( ppm ) 
2012-08-23,3693,0.165,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2012-08-23,2898,0.204,Pomona,22,Parts Per Million ( ppm ) 
2012-08-23,2420,0.064,Reseda,23,Parts Per Million ( ppm ) 
2012-08-23,3502,0.140,Santa Clarita,23,Parts Per Million ( ppm ) 
2012-08-23,2494,0.213,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2012-08-23,3674,0.214,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2012-08-23,2937,0.011,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2012-08-23,2249,0.200,La Habra,22,Parts Per Million ( ppm ) 
2012-08-23,3265,0.175,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2012-08-23,2943,0.058,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2012-08-23,3702,0.094,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2012-08-23,2333,0.284,Riverside-Magnolia,22,Parts Per Million ( ppm ) 
2012-08-23,2596,0.259,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2012-08-23,2266,0.112,Fontana-Arrow Highway,21,Parts Per Million ( ppm ) 
2012-08-23,2221,0.331,San Bernardino-4th Street,21,Parts Per Million ( ppm ) 
2012-08-23,2485,0.343,Upland,22,Parts Per Million ( ppm ) 
2012-08-23,3153,0.213,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2012-08-23,3101,0.104,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2012-08-23,2360,0.300,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2012-08-23,3023,0.135,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2012-08-23,2327,0.226,El Cajon-Redwood Avenue,18,Parts Per Million ( ppm ) 
2012-08-23,2263,0.326,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2012-08-23,3690,0.521,San Diego-1110 Beardsley Street,19,Parts Per Million ( ppm ) 
2012-08-23,3742,0.376,Oakland-West,21,Parts Per Million ( ppm ) 
2012-08-23,2804,0.290,Bethel Island Road,23,Parts Per Million ( ppm ) 
2012-08-23,2831,0.308,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2012-08-23,3668,0.284,San Pablo-Rumrill Blvd,22,Parts Per Million ( ppm ) 
2012-08-23,2622,0.275,San Rafael,23,Parts Per Million ( ppm ) 
2012-08-23,2655,0.357,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2012-08-23,2373,0.328,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2012-08-23,2125,0.303,Redwood City,23,Parts Per Million ( ppm ) 
2012-08-23,3770,0.368,Cupertino-22601 Voss Ave,23,Parts Per Million ( ppm ) 
2012-08-23,3661,0.244,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2012-08-23,2410,0.257,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2012-08-23,2105,0.357,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2012-08-23,3026,0.245,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2012-08-23,2013,0.319,Fresno-Drummond Street,21,Parts Per Million ( ppm ) 
2012-08-23,2844,0.355,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2012-08-23,3787,0.226,Bakersfield-Municipal Airport,19,Parts Per Million ( ppm ) 
2012-08-23,2094,0.170,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2012-08-23,2833,0.222,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2012-08-23,2996,0.368,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2012-08-23,3135,0.200,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2012-08-23,2551,0.000,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2012-08-23,2199,0.153,Palm Springs-Fire Station,22,Parts Per Million ( ppm ) 
2012-08-23,2123,0.213,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2012-08-23,2731,0.175,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
2012-08-23,2840,0.400,Sacramento-El Camino and Watt,24,Parts Per Million ( ppm ) 
2012-08-23,3738,0.278,Sacramento-Goldenland Court,23,Parts Per Million ( ppm ) 
2012-08-24,3658,0.648,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2012-08-24,2923,0.135,Barstow,23,Parts Per Million ( ppm ) 
2012-08-24,3500,0.309,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2012-08-24,3138,0.449,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2012-08-24,3779,0.368,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2012-08-24,3716,0.104,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2012-08-24,3489,0.200,Salinas-High School,24,Parts Per Million ( ppm ) 
2012-08-24,2484,0.310,Azusa,22,Parts Per Million ( ppm ) 
2012-08-24,3743,0.353,Compton-700 North Bullis Road,23,Parts Per Million ( ppm ) 
2012-08-24,2849,0.326,Glendora-Laurel,21,Parts Per Million ( ppm ) 
2012-08-24,2899,0.416,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2012-08-24,3683,0.254,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2012-08-24,2160,0.341,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2012-08-24,3693,0.156,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2012-08-24,2898,0.197,Pomona,23,Parts Per Million ( ppm ) 
2012-08-24,2420,0.082,Reseda,23,Parts Per Million ( ppm ) 
2012-08-24,3502,0.174,Santa Clarita,23,Parts Per Million ( ppm ) 
2012-08-24,2494,0.223,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2012-08-24,3674,0.213,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2012-08-24,2937,0.005,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2012-08-24,2249,0.203,La Habra,22,Parts Per Million ( ppm ) 
2012-08-24,3265,0.191,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2012-08-24,2943,0.078,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2012-08-24,3702,0.107,Mira Loma Van Buren,22,Parts Per Million ( ppm ) 
2012-08-24,2333,0.299,Riverside-Magnolia,21,Parts Per Million ( ppm ) 
2012-08-24,2596,0.273,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2012-08-24,2266,0.135,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2012-08-24,3153,0.252,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2012-08-24,3101,0.104,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2012-08-24,2360,0.300,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2012-08-24,3023,0.139,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2012-08-24,2263,0.305,Escondido-E Valley Parkway,21,Parts Per Million ( ppm ) 
2012-08-24,3247,0.202,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2012-08-24,3742,0.389,Oakland-West,23,Parts Per Million ( ppm ) 
2012-08-24,2804,0.287,Bethel Island Road,23,Parts Per Million ( ppm ) 
2012-08-24,2831,0.296,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2012-08-24,3668,0.306,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2012-08-24,2622,0.293,San Rafael,23,Parts Per Million ( ppm ) 
2012-08-24,2655,0.362,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2012-08-24,2373,0.358,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2012-08-24,2125,0.315,Redwood City,23,Parts Per Million ( ppm ) 
2012-08-24,3770,0.396,Cupertino-22601 Voss Ave,23,Parts Per Million ( ppm ) 
2012-08-24,3661,0.256,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2012-08-24,2410,0.299,Vallejo-304 Tuolumne Street,19,Parts Per Million ( ppm ) 
2012-08-24,2105,0.395,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2012-08-24,3026,0.250,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2012-08-24,2013,0.350,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2012-08-24,2844,0.350,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2012-08-24,3787,0.248,Bakersfield-Municipal Airport,21,Parts Per Million ( ppm ) 
2012-08-24,2094,0.170,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2012-08-24,2833,0.213,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2012-08-24,2996,0.350,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2012-08-24,3135,0.214,Calexico-Ethel Street,21,Parts Per Million ( ppm ) 
2012-08-24,2551,0.000,El Centro-9th Street,23,Parts Per Million ( ppm ) 
2012-08-24,2199,0.167,Palm Springs-Fire Station,22,Parts Per Million ( ppm ) 
2012-08-24,2123,0.243,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2012-08-24,2731,0.219,Sacramento-Del Paso Manor,22,Parts Per Million ( ppm ) 
2012-08-24,2840,0.430,Sacramento-El Camino and Watt,23,Parts Per Million ( ppm ) 
2012-08-24,3738,0.288,Sacramento-Goldenland Court,24,Parts Per Million ( ppm ) 
2012-08-25,3658,0.700,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2012-08-25,2923,0.100,Barstow,23,Parts Per Million ( ppm ) 
2012-08-25,3500,0.278,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2012-08-25,3138,0.495,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2012-08-25,3779,0.382,Eureka-Humboldt Hill                    ,23,Parts Per Million ( ppm ) 
2012-08-25,3716,0.095,Eureka-Jacobs,22,Parts Per Million ( ppm ) 
2012-08-25,3489,0.196,Salinas-High School,23,Parts Per Million ( ppm ) 
