summary_date,site,co_davg,name,obs_count,units 
2015-10-02,2731,0.289,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
2015-10-02,3738,0.258,Sacramento-Goldenland Court,24,Parts Per Million ( ppm ) 
2015-10-03,3658,0.198,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2015-10-03,3500,0.332,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2015-10-03,3779,0.100,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2015-10-03,3716,0.217,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2015-10-03,3489,0.350,Salinas-High School,24,Parts Per Million ( ppm ) 
2015-10-03,2484,0.276,Azusa,22,Parts Per Million ( ppm ) 
2015-10-03,3743,0.520,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2015-10-03,2849,0.158,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2015-10-03,3774,0.263,Long Beach-2425 Webster Street          ,24,Parts Per Million ( ppm ) 
2015-10-03,2899,0.365,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2015-10-03,3683,0.393,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2015-10-03,2160,0.130,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2015-10-03,3693,0.325,Pico Rivera-4144 San Gabriel,23,Parts Per Million ( ppm ) 
2015-10-03,2898,0.124,Pomona,23,Parts Per Million ( ppm ) 
2015-10-03,2420,0.486,Reseda,23,Parts Per Million ( ppm ) 
2015-10-03,3502,0.129,Santa Clarita,23,Parts Per Million ( ppm ) 
2015-10-03,2494,0.306,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2015-10-03,3809,0.739,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2015-10-03,3674,0.363,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2015-10-03,2937,0.118,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2015-10-03,2249,0.186,La Habra,23,Parts Per Million ( ppm ) 
2015-10-03,3265,0.002,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2015-10-03,2943,0.113,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2015-10-03,3702,0.165,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2015-10-03,2596,0.324,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2015-10-03,2266,0.115,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2015-10-03,3820,0.440,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2015-10-03,2221,0.362,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2015-10-03,2485,0.366,Upland,23,Parts Per Million ( ppm ) 
2015-10-03,3153,0.213,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2015-10-03,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2015-10-03,2360,0.317,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2015-10-03,3665,0.196,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2015-10-03,3486,0.175,Santa Maria-906 S Broadway,19,Parts Per Million ( ppm ) 
2015-10-03,3023,0.222,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2015-10-03,3806,0.240,El Cajon-Floyd Smith Drive,21,Parts Per Million ( ppm ) 
2015-10-03,3690,0.219,San Diego-1110 Beardsley Street,21,Parts Per Million ( ppm ) 
2015-10-03,3821,0.436,San Diego-11403 Rancho Carmel Dr        ,22,Parts Per Million ( ppm ) 
2015-10-03,3247,0.322,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2015-10-03,3803,0.404,Oakland-Laney College                   ,23,Parts Per Million ( ppm ) 
2015-10-03,3742,0.402,Oakland-West,23,Parts Per Million ( ppm ) 
2015-10-03,2804,0.373,Bethel Island Road,23,Parts Per Million ( ppm ) 
2015-10-03,2831,0.242,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2015-10-03,3668,0.420,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2015-10-03,2622,0.373,San Rafael,23,Parts Per Million ( ppm ) 
2015-10-03,2655,0.380,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2015-10-03,2373,0.297,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2015-10-03,2125,0.363,Redwood City,23,Parts Per Million ( ppm ) 
2015-10-03,3661,0.266,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2015-10-03,3810,0.650,San Jose-Knox Avenue                    ,23,Parts Per Million ( ppm ) 
2015-10-03,2410,0.192,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2015-10-03,3804,0.386,Sebastopol-103 Morris Street            ,23,Parts Per Million ( ppm ) 
2015-10-03,3026,0.205,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2015-10-03,3781,0.250,Fresno-Garland                          ,24,Parts Per Million ( ppm ) 
2015-10-03,3787,0.223,Bakersfield-Municipal Airport,22,Parts Per Million ( ppm ) 
2015-10-03,2094,0.206,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2015-10-03,2833,0.219,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2015-10-03,3135,0.147,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2015-10-03,2199,0.093,Palm Springs-Fire Station,22,Parts Per Million ( ppm ) 
2015-10-03,3783,0.162,Chico-East Avenue                       ,23,Parts Per Million ( ppm ) 
2015-10-03,2123,0.296,North Highlands-Blackfoot Way,24,Parts Per Million ( ppm ) 
2015-10-03,2731,0.179,Sacramento-Del Paso Manor,22,Parts Per Million ( ppm ) 
2015-10-03,3738,0.226,Sacramento-Goldenland Court,23,Parts Per Million ( ppm ) 
2015-10-04,3658,0.148,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2015-10-04,3500,0.273,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2015-10-04,3779,0.108,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2015-10-04,3716,0.250,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2015-10-04,3489,0.346,Salinas-High School,24,Parts Per Million ( ppm ) 
2015-10-04,2484,0.181,Azusa,23,Parts Per Million ( ppm ) 
2015-10-04,3743,0.375,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2015-10-04,2849,0.081,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2015-10-04,3774,0.146,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2015-10-04,2899,0.230,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2015-10-04,3683,0.235,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2015-10-04,2160,0.032,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2015-10-04,3693,0.186,Pico Rivera-4144 San Gabriel,23,Parts Per Million ( ppm ) 
2015-10-04,2898,0.007,Pomona,23,Parts Per Million ( ppm ) 
2015-10-04,2420,0.269,Reseda,23,Parts Per Million ( ppm ) 
2015-10-04,3502,0.014,Santa Clarita,23,Parts Per Million ( ppm ) 
2015-10-04,2494,0.124,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2015-10-04,3809,0.640,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2015-10-04,3674,0.269,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2015-10-04,2937,0.047,Costa Mesa-Mesa Verde Drive,22,Parts Per Million ( ppm ) 
2015-10-04,2249,0.084,La Habra,23,Parts Per Million ( ppm ) 
2015-10-04,3265,0.000,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2015-10-04,2943,0.056,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2015-10-04,3702,0.039,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2015-10-04,2596,0.179,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2015-10-04,2266,-0.027,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2015-10-04,3820,0.286,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2015-10-04,2221,0.247,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2015-10-04,2485,0.214,Upland,23,Parts Per Million ( ppm ) 
2015-10-04,3153,0.213,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2015-10-04,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2015-10-04,2360,0.335,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2015-10-04,3665,0.178,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2015-10-04,3486,0.143,Santa Maria-906 S Broadway,19,Parts Per Million ( ppm ) 
2015-10-04,3023,0.204,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2015-10-04,3806,0.173,El Cajon-Floyd Smith Drive,21,Parts Per Million ( ppm ) 
2015-10-04,3690,0.132,San Diego-1110 Beardsley Street,22,Parts Per Million ( ppm ) 
2015-10-04,3821,0.355,San Diego-11403 Rancho Carmel Dr        ,22,Parts Per Million ( ppm ) 
2015-10-04,3247,0.375,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2015-10-04,3803,0.431,Oakland-Laney College                   ,23,Parts Per Million ( ppm ) 
2015-10-04,3742,0.361,Oakland-West,23,Parts Per Million ( ppm ) 
2015-10-04,2804,0.356,Bethel Island Road,23,Parts Per Million ( ppm ) 
2015-10-04,2831,0.317,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2015-10-04,3668,0.422,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2015-10-04,2622,0.379,San Rafael,23,Parts Per Million ( ppm ) 
2015-10-04,2655,0.360,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2015-10-04,2373,0.321,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2015-10-04,2125,0.332,Redwood City,23,Parts Per Million ( ppm ) 
2015-10-04,3661,0.199,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2015-10-04,3810,0.567,San Jose-Knox Avenue                    ,23,Parts Per Million ( ppm ) 
2015-10-04,2410,0.232,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2015-10-04,3804,0.373,Sebastopol-103 Morris Street            ,23,Parts Per Million ( ppm ) 
2015-10-04,3026,0.139,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2015-10-04,3781,0.158,Fresno-Garland                          ,24,Parts Per Million ( ppm ) 
