summary_date,site,no2_davg,name,obs_count,units 
2004-06-15,3011,0.018,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2004-06-15,2958,0.009,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2004-06-15,2143,0.003,Davis-UCD Campus,23,Parts Per Million ( ppm ) 
2004-06-16,3487,0.002,Echo Summit,23,Parts Per Million ( ppm ) 
2004-06-16,3121,0.006,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2004-06-16,3658,0.017,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2004-06-16,2923,0.022,Barstow,23,Parts Per Million ( ppm ) 
2004-06-16,3215,0.004,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2004-06-16,3500,0.026,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,3203,0.012,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2004-06-16,3201,0.012,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2004-06-16,3183,0.005,Rosarito,22,Parts Per Million ( ppm ) 
2004-06-16,3255,0.018,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2004-06-16,3138,0.012,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2004-06-16,3141,0.011,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2004-06-16,3178,0.006,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2004-06-16,3010,0.007,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2004-06-16,3116,0.008,Willits-899 S Main Street,21,Parts Per Million ( ppm ) 
2004-06-16,3489,0.003,Salinas-High School,24,Parts Per Million ( ppm ) 
2004-06-16,2329,0.002,Davenport,24,Parts Per Million ( ppm ) 
2004-06-16,2484,0.010,Azusa,23,Parts Per Million ( ppm ) 
2004-06-16,2492,0.026,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,2849,0.018,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2004-06-16,2899,0.025,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2004-06-16,3683,0.018,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2004-06-16,2583,0.015,Lynwood,23,Parts Per Million ( ppm ) 
2004-06-16,2429,0.012,North Long Beach,23,Parts Per Million ( ppm ) 
2004-06-16,2160,0.016,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2004-06-16,2166,0.015,Pico Rivera,23,Parts Per Million ( ppm ) 
2004-06-16,2898,0.018,Pomona,23,Parts Per Million ( ppm ) 
2004-06-16,2420,0.014,Reseda,23,Parts Per Million ( ppm ) 
2004-06-16,3502,0.023,Santa Clarita,23,Parts Per Million ( ppm ) 
2004-06-16,2494,0.009,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2004-06-16,3674,0.004,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
